area,date,price
NO1,2021-11-01,0.851175
NO2,2021-11-01,0.851175
NO3,2021-11-01,0.1595125
NO4,2021-11-01,0.13332
NO5,2021-11-01,0.851175
NO1,2021-11-02,1.092
NO2,2021-11-02,1.095625
NO3,2021-11-02,0.148125
NO4,2021-11-02,0.11872
NO5,2021-11-02,1.092
NO1,2021-11-03,1.1905875
NO2,2021-11-03,1.1905875
NO3,2021-11-03,0.242475
NO4,2021-11-03,0.16249
NO5,2021-11-03,1.1905875
NO1,2021-11-04,1.3064
NO2,2021-11-04,1.3064
NO3,2021-11-04,0.3076375
NO4,2021-11-04,0.24611
NO5,2021-11-04,1.3064
NO1,2021-11-05,1.0976625
NO2,2021-11-05,1.0976625
NO3,2021-11-05,0.20205
NO4,2021-11-05,0.16164
NO5,2021-11-05,1.0976625
NO1,2021-11-06,0.969975
NO2,2021-11-06,0.969975
NO3,2021-11-06,0.1132125
NO4,2021-11-06,0.09057
NO5,2021-11-06,0.969975
NO1,2021-11-07,0.8611875
NO2,2021-11-07,0.8611875
NO3,2021-11-07,0.14595
NO4,2021-11-07,0.11676
NO5,2021-11-07,0.910925
NO1,2021-11-08,1.5224125
NO2,2021-11-08,1.5224125
NO3,2021-11-08,0.2631375
NO4,2021-11-08,0.21051
NO5,2021-11-08,1.5224125
NO1,2021-11-09,1.0360125
NO2,2021-11-09,1.0360125
NO3,2021-11-09,0.162425
NO4,2021-11-09,0.12994
NO5,2021-11-09,1.0360125
NO1,2021-11-10,1.0944875
NO2,2021-11-10,1.0944875
NO3,2021-11-10,0.11615
NO4,2021-11-10,0.09292
NO5,2021-11-10,1.0944875
NO1,2021-11-11,1.1124375
NO2,2021-11-11,1.1124375
NO3,2021-11-11,0.1282
NO4,2021-11-11,0.10256
NO5,2021-11-11,1.1124375
NO1,2021-11-12,1.1508125
NO2,2021-11-12,1.1508125
NO3,2021-11-12,0.1778625
NO4,2021-11-12,0.14229
NO5,2021-11-12,1.1508125
NO1,2021-11-13,1.1406125
NO2,2021-11-13,1.1406125
NO3,2021-11-13,0.202625
NO4,2021-11-13,0.1621
NO5,2021-11-13,1.1406125
NO1,2021-11-14,1.2121875
NO2,2021-11-14,1.2121875
NO3,2021-11-14,0.2103375
NO4,2021-11-14,0.16827
NO5,2021-11-14,1.2121875
NO1,2021-11-15,1.2096875
NO2,2021-11-15,1.2096875
NO3,2021-11-15,0.17385
NO4,2021-11-15,0.13908
NO5,2021-11-15,1.2096875
NO1,2021-11-16,1.197825
NO2,2021-11-16,1.197825
NO3,2021-11-16,0.1783375
NO4,2021-11-16,0.14267
NO5,2021-11-16,1.197825
NO1,2021-11-17,1.116425
NO2,2021-11-17,1.116425
NO3,2021-11-17,0.1776625
NO4,2021-11-17,0.14213
NO5,2021-11-17,1.116425
NO1,2021-11-18,1.1136625
NO2,2021-11-18,1.1136625
NO3,2021-11-18,0.1668625
NO4,2021-11-18,0.13349
NO5,2021-11-18,1.1136625
NO1,2021-11-19,1.038675
NO2,2021-11-19,1.038675
NO3,2021-11-19,0.15315
NO4,2021-11-19,0.12252
NO5,2021-11-19,1.038675
NO1,2021-11-20,1.1173625
NO2,2021-11-20,1.1173625
NO3,2021-11-20,0.148975
NO4,2021-11-20,0.11918
NO5,2021-11-20,1.1173625
NO1,2021-11-21,1.16555
NO2,2021-11-21,1.16555
NO3,2021-11-21,0.1920125
NO4,2021-11-21,0.15361
NO5,2021-11-21,1.16555
NO1,2021-11-22,1.5464625
NO2,2021-11-22,1.5464625
NO3,2021-11-22,0.19255
NO4,2021-11-22,0.17345
NO5,2021-11-22,1.5464625
NO1,2021-11-23,1.3822
NO2,2021-11-23,1.3822
NO3,2021-11-23,0.1849375
NO4,2021-11-23,0.14876
NO5,2021-11-23,1.3822
NO1,2021-11-24,1.367275
NO2,2021-11-24,1.367275
NO3,2021-11-24,0.2927375
NO4,2021-11-24,0.23419
NO5,2021-11-24,1.367275
NO1,2021-11-25,1.4027
NO2,2021-11-25,1.4027
NO3,2021-11-25,0.5150375
NO4,2021-11-25,0.41203
NO5,2021-11-25,1.4027
NO1,2021-11-26,1.4630375
NO2,2021-11-26,1.4630375
NO3,2021-11-26,1.4455875
NO4,2021-11-26,1.15647
NO5,2021-11-26,1.4630375
NO1,2021-11-27,1.849125
NO2,2021-11-27,1.849125
